<<<<<<< HEAD
filename,bitrate,snr,psnr,ssim
Amanikiniki64.wav,64,12.810427926792443,24.174821178153486,0.7972514424618699
John Vuli Gate64.wav,64,14.302720028148485,30.343510775782534,0.9199692843692894
Mnike64.wav,64,11.43415755299312,22.049087826949325,0.742053851784023
Ngibambeni64.wav,64,15.941297422617476,27.875403715685717,0.9108676925010697
SgudiSnyc64.wav,64,10.641664556577553,29.43617145788323,0.9429460039784257
Amanikiniki128.wav,128,18.47148604664268,29.83587929800372,0.9460002473799697
John Vuli Gate128.wav,128,19.094767163663132,35.13555791129718,0.972852412431575
Mnike128.wav,128,15.791899198864172,26.406829472820377,0.9019796294171392
Ngibambeni128.wav,128,20.233837876796926,32.16794416986517,0.9676772862332326
SgudiSnyc128.wav,128,16.05856969046807,34.85307659177374,0.9841889684962492
Amanikiniki256.wav,256,29.197701857473902,40.562095108834946,0.9942204659188216
John Vuli Gate256.wav,256,28.707332978034525,44.74812372566858,0.9959884786859844
Mnike256.wav,256,24.747369395352244,35.36229966930845,0.9847213548182503
Ngibambeni256.wav,256,30.115482259978748,42.049588553046995,0.9949347659296982
SgudiSnyc256.wav,256,26.02864981237978,44.82315671368546,0.9982387119048893
=======
filename,bitrate,snr,psnr,ssim
Amanikiniki64.wav,64,12.810427926792443,24.174821178153486,0.7972514424618699
John Vuli Gate64.wav,64,14.302720028148485,30.343510775782534,0.9199692843692894
Mnike64.wav,64,11.43415755299312,22.049087826949325,0.742053851784023
Ngibambeni64.wav,64,15.941297422617476,27.875403715685717,0.9108676925010697
SgudiSnyc64.wav,64,10.641664556577553,29.43617145788323,0.9429460039784257
Amanikiniki128.wav,128,18.47148604664268,29.83587929800372,0.9460002473799697
John Vuli Gate128.wav,128,19.094767163663132,35.13555791129718,0.972852412431575
Mnike128.wav,128,15.791899198864172,26.406829472820377,0.9019796294171392
Ngibambeni128.wav,128,20.233837876796926,32.16794416986517,0.9676772862332326
SgudiSnyc128.wav,128,16.05856969046807,34.85307659177374,0.9841889684962492
Amanikiniki256.wav,256,29.197701857473902,40.562095108834946,0.9942204659188216
John Vuli Gate256.wav,256,28.707332978034525,44.74812372566858,0.9959884786859844
Mnike256.wav,256,24.747369395352244,35.36229966930845,0.9847213548182503
Ngibambeni256.wav,256,30.115482259978748,42.049588553046995,0.9949347659296982
SgudiSnyc256.wav,256,26.02864981237978,44.82315671368546,0.9982387119048893
>>>>>>> 3cae3254ab5ea74e0fba954d3b6ad11f91769494
