<<<<<<< HEAD
filename,bitrate,snr,psnr,ssim
Aslay_Naenjoy64.wav,64,18.384772103390244,31.24215702465444,0.9496784566611473
Diamond_Platnumz_Kamwambie64.wav,64,13.412872256339343,25.254144301720956,0.846541972829302
LavaLava_Teja64.wav,64,16.879322663341313,24.749455902694535,0.8903622128362021
Mbosso_Limevuja64.wav,64,14.191631345730716,23.29203195483943,0.8700776944687689
Rayvanny_Naogopa64.wav,64,17.996996397457107,28.555123301515298,0.9285855190051131
Aslay_Naenjoy128.wav,128,22.93440897725923,35.79179389852343,0.9872184284745298
Diamond_Platnumz_Kamwambie128.wav,128,18.918124071809043,30.75939611719066,0.9587812263351787
LavaLava_Teja128.wav,128,21.464888963322174,29.3350222026754,0.9623584105381888
Mbosso_Limevuja128.wav,128,18.596395646025723,27.696796255134437,0.9569018059292126
Rayvanny_Naogopa128.wav,128,22.29508935969037,32.853216263748564,0.9786625250148784
Aslay_Naenjoy256.wav,256,37.20599698706352,50.06338190832771,0.998980248031364
Diamond_Platnumz_Kamwambie256.wav,256,30.256843875136372,42.09811592051799,0.9961648808725699
LavaLava_Teja256.wav,256,34.21487057062431,42.08500380997754,0.9967024555824872
Mbosso_Limevuja256.wav,256,29.809087937961102,38.90948854706981,0.9955461025240303
Rayvanny_Naogopa256.wav,256,35.32278914067672,45.8809160447349,0.9979856109196619
=======
filename,bitrate,snr,psnr,ssim
Aslay_Naenjoy64.wav,64,18.384772103390244,31.24215702465444,0.9496784566611473
Diamond_Platnumz_Kamwambie64.wav,64,13.412872256339343,25.254144301720956,0.846541972829302
LavaLava_Teja64.wav,64,16.879322663341313,24.749455902694535,0.8903622128362021
Mbosso_Limevuja64.wav,64,14.191631345730716,23.29203195483943,0.8700776944687689
Rayvanny_Naogopa64.wav,64,17.996996397457107,28.555123301515298,0.9285855190051131
Aslay_Naenjoy128.wav,128,22.93440897725923,35.79179389852343,0.9872184284745298
Diamond_Platnumz_Kamwambie128.wav,128,18.918124071809043,30.75939611719066,0.9587812263351787
LavaLava_Teja128.wav,128,21.464888963322174,29.3350222026754,0.9623584105381888
Mbosso_Limevuja128.wav,128,18.596395646025723,27.696796255134437,0.9569018059292126
Rayvanny_Naogopa128.wav,128,22.29508935969037,32.853216263748564,0.9786625250148784
Aslay_Naenjoy256.wav,256,37.20599698706352,50.06338190832771,0.998980248031364
Diamond_Platnumz_Kamwambie256.wav,256,30.256843875136372,42.09811592051799,0.9961648808725699
LavaLava_Teja256.wav,256,34.21487057062431,42.08500380997754,0.9967024555824872
Mbosso_Limevuja256.wav,256,29.809087937961102,38.90948854706981,0.9955461025240303
Rayvanny_Naogopa256.wav,256,35.32278914067672,45.8809160447349,0.9979856109196619
>>>>>>> 3cae3254ab5ea74e0fba954d3b6ad11f91769494
